Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,1886,6.0,6,,,,,,,,,,
,,,,,1900,14.0,14,,,,,,,,,,
,,,,,1904,4.0,4,,,,,,,,,,
,,,,,1910,6.0,6,,,,,,,,,,
,,,,,1919,9.0,9,,,,,,,,,,
,,,,,1928,9.0,9,,,,,,,,,,
,,,,,1932,4.0,4,,,,,,,,,,
,,,,,1935,3.0,3,,,,,,,,,,
,,,,,1939,4.0,4,,,,,,,,,,
,,,,,1944,5.0,5,,,,,,,,,,
,,,,,1953,9.0,9,,,,,,,,,,
,,,,,1969,16.0,16,,,,,,,,,,
,,,,,1972,3.0,3,,,,,,,,,,
,,,,,1996,24.0,24,,,,,,,,,,
,,,,,2024,28.0,28,,,,,,,,,,
,,,,,2035,11.0,11,,,,,,,,,,
,,,,,2046,11.0,11,,,,,,,,,,
,,,,,2049,3.0,3,,,,,,,,,,
,,,,,2053,4.0,4,,,,,,,,,,
,,,,,2058,5.0,5,,,,,,,,,,
,,,,,2066,8.0,8,,,,,,,,,,
,,,,,2071,5.0,5,,,,,,,,,,
,,,,,2074,3.0,3,,,,,,,,,,
,,,,,2078,4.0,4,,,,,,,,,,
,,,,,2086,8.0,8,,,,,,,,,,
,,,,,2093,7.0,7,,,,,,,,,,
,,,,,2098,5.0,5,,,,,,,,,,
,,,,,2105,7.0,7,,,,,,,,,,
,,,,,2111,6.0,6,,,,,,,,,,
,,,,,2118,7.0,7,,,,,,,,,,
,,,,,2123,5.0,5,,,,,,,,,,
,,,,,2132,9.0,9,,,,,,,,,,
,,,,,2135,3.0,3,,,,,,,,,,
,,,,,2138,3.0,3,,,,,,,,,,
,,,,,2146,8.0,8,,,,,,,,,,
,,,,,2150,4.0,4,,,,,,,,,,
,,,,,2153,3.0,3,,,,,,,,,,
,,,,,2159,6.0,6,,,,,,,,,,
,,,,,2176,17.0,17,,,,,,,,,,
,,,,,2184,8.0,8,,,,,,,,,,
,,,,,2190,6.0,6,,,,,,,,,,
,,,,,2196,6.0,6,,,,,,,,,,
,,,,,2200,4.0,4,,,,,,,,,,
,,,,,2208,8.0,8,,,,,,,,,,
,,,,,2215,7.0,7,,,,,,,,,,
,,,,,2222,7.0,7,,,,,,,,,,
,,,,,2229,7.0,7,,,,,,,,,,
,,,,,2233,4.0,4,,,,,,,,,,
,,,,,2239,6.0,6,,,,,,,,,,
,,,,,2243,4.0,4,,,,,,,,,,
,,,,,2248,5.0,5,,,,,,,,,,
,,,,,2262,14.0,14,,,,,,,,,,
,,,,,2267,5.0,5,,,,,,,,,,
,,,,,2270,3.0,3,,,,,,,,,,
,,,,,2275,5.0,5,,,,,,,,,,
,,,,,2281,6.0,6,,,,,,,,,,
,,,,,2285,4.0,4,,,,,,,,,,
,,,,,2290,5.0,5,,,,,,,,,,
,,,,,2311,21.0,21,,,,,,,,,,
,,,,,2316,5.0,5,,,,,,,,,,
,,,,,2323,7.0,7,,,,,,,,,,
,,,,,2329,6.0,6,,,,,,,,,,
,,,,,2339,10.0,10,,,,,,,,,,
,,,,,2344,5.0,5,,,,,,,,,,
,,,,,2349,5.0,5,,,,,,,,,,
,,,,,2356,7.0,7,,,,,,,,,,
,,,,,2359,3.0,3,,,,,,,,,,
,,,,,2362,3.0,3,,,,,,,,,,
,,,,,2366,4.0,4,,,,,,,,,,
,,,,,2371,5.0,5,,,,,,,,,,
,,,,,2381,10.0,10,,,,,,,,,,
,,,,,2384,3.0,3,,,,,,,,,,
,,,,,2393,9.0,9,,,,,,,,,,
,,,,,2397,4.0,4,,,,,,,,,,
,,,,,2404,7.0,7,,,,,,,,,,
,,,,,2407,3.0,3,,,,,,,,,,
,,,,,2415,8.0,8,,,,,,,,,,
,,,,,2421,6.0,6,,,,,,,,,,
,,,,,2426,5.0,5,,,,,,,,,,
,,,,,2434,8.0,8,,,,,,,,,,
,,,,,2438,4.0,4,,,,,,,,,,
,,,,,2444,6.0,6,,,,,,,,,,
,,,,,2457,13.0,13,,,,,,,,,,
,,,,,2464,7.0,7,,,,,,,,,,
,,,,,2483,19.0,19,,,,,,,,,,
,,,,,2488,5.0,5,,,,,,,,,,
,,,,,2501,13.0,13,,,,,,,,,,
,,,,,2505,4.0,4,,,,,,,,,,
,,,,,2510,5.0,5,,,,,,,,,,
,,,,,2514,4.0,4,,,,,,,,,,
,,,,,2523,9.0,9,,,,,,,,,,
,,,,,2527,4.0,4,,,,,,,,,,
,,,,,2531,4.0,4,,,,,,,,,,
,,,,,2542,11.0,11,,,,,,,,,,
,,,,,2553,11.0,11,,,,,,,,,,
,,,,,2557,4.0,4,,,,,,,,,,
,,,,,2568,11.0,11,,,,,,,,,,
,,,,,2573,5.0,5,,,,,,,,,,
,,,,,2576,3.0,3,,,,,,,,,,
,,,,,2582,6.0,6,,,,,,,,,,
,,,,,2586,4.0,4,,,,,,,,,,
,,,,,2598,12.0,12,,,,,,,,,,
,,,,,2610,12.0,12,,,,,,,,,,
,,,,,2614,4.0,4,,,,,,,,,,
,,,,,2617,3.0,3,,,,,,,,,,
,,,,,2620,3.0,3,,,,,,,,,,
,,,,,2623,3.0,3,,,,,,,,,,
,,,,,2627,4.0,4,,,,,,,,,,
,,,,,2639,12.0,12,,,,,,,,,,
,,,,,2643,4.0,4,,,,,,,,,,
,,,,,2649,6.0,6,,,,,,,,,,
,,,,,2652,3.0,3,,,,,,,,,,
,,,,,2657,5.0,5,,,,,,,,,,
,,,,,2662,5.0,5,,,,,,,,,,
,,,,,2670,8.0,8,,,,,,,,,,
,,,,,2676,6.0,6,,,,,,,,,,
,,,,,2679,3.0,3,,,,,,,,,,
,,,,,2684,5.0,5,,,,,,,,,,
,,,,,2693,9.0,9,,,,,,,,,,
,,,,,2699,6.0,6,,,,,,,,,,
,,,,,2704,5.0,5,,,,,,,,,,
,,,,,2712,8.0,8,,,,,,,,,,
,,,,,2717,5.0,5,,,,,,,,,,
,,,,,2724,7.0,7,,,,,,,,,,
,,,,,2742,18.0,18,,,,,,,,,,
,,,,,2746,4.0,4,,,,,,,,,,
,,,,,2758,12.0,12,,,,,,,,,,
,,,,,2764,6.0,6,,,,,,,,,,
,,,,,2767,3.0,3,,,,,,,,,,
,,,,,2773,6.0,6,,,,,,,,,,
,,,,,2779,6.0,6,,,,,,,,,,
,,,,,2782,3.0,3,,,,,,,,,,
,,,,,2790,8.0,8,,,,,,,,,,
,,,,,2796,6.0,6,,,,,,,,,,
,,,,,2808,12.0,12,,,,,,,,,,
,,,,,2814,6.0,6,,,,,,,,,,
,,,,,2825,11.0,11,,,,,,,,,,
,,,,,2829,4.0,4,,,,,,,,,,
,,,,,2834,5.0,5,,,,,,,,,,
,,,,,2841,7.0,7,,,,,,,,,,
,,,,,2847,6.0,6,,,,,,,,,,
,,,,,2853,6.0,6,,,,,,,,,,
,,,,,2858,5.0,5,,,,,,,,,,
,,,,,2861,3.0,3,,,,,,,,,,
,,,,,2866,5.0,5,,,,,,,,,,
,,,,,2872,6.0,6,,,,,,,,,,
,,,,,2886,14.0,14,,,,,,,,,,
,,,,,2890,4.0,4,,,,,,,,,,
,,,,,2897,7.0,7,,,,,,,,,,
,,,,,2901,4.0,4,,,,,,,,,,
,,,,,2905,4.0,4,,,,,,,,,,
,,,,,2912,7.0,7,,,,,,,,,,
,,,,,2923,11.0,11,,,,,,,,,,
,,,,,2927,4.0,4,,,,,,,,,,
,,,,,2935,8.0,8,,,,,,,,,,
,,,,,2939,4.0,4,,,,,,,,,,
,,,,,2942,3.0,3,,,,,,,,,,
,,,,,2945,3.0,3,,,,,,,,,,
,,,,,2956,11.0,11,,,,,,,,,,
,,,,,2963,7.0,7,,,,,,,,,,
,,,,,2970,7.0,7,,,,,,,,,,
,,,,,2973,3.0,3,,,,,,,,,,
,,,,,2978,5.0,5,,,,,,,,,,
,,,,,2987,9.0,9,,,,,,,,,,
,,,,,2993,6.0,6,,,,,,,,,,
,,,,,2997,4.0,4,,,,,,,,,,
,,,,,3000,3.0,3,,,,,,,,,,
,,,,,3006,6.0,6,,,,,,,,,,
,,,,,3015,9.0,9,,,,,,,,,,
,,,,,3023,8.0,8,,,,,,,,,,
