Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,8144,84.0,84,,,,,,
,,,,,8181,37.0,37,,,,,,
,,,,,8197,16.0,16,,,,,,
,,,,,8265,68.0,68,,,,,,
,,,,,8285,20.0,20,,,,,,
,,,,,8307,22.0,22,,,,,,
,,,,,8319,12.0,12,,,,,,
,,,,,8357,38.0,38,,,,,,
,,,,,8419,62.0,62,,,,,,
,,,,,8440,21.0,21,,,,,,
,,,,,8505,65.0,65,,,,,,
,,,,,8524,19.0,19,,,,,,
,,,,,8556,32.0,32,,,,,,
,,,,,8578,22.0,22,,,,,,
,,,,,8624,46.0,46,,,,,,
,,,,,8657,33.0,33,,,,,,
,,,,,8688,31.0,31,,,,,,
,,,,,8706,18.0,18,,,,,,
,,,,,8725,19.0,19,,,,,,
,,,,,8737,12.0,12,,,,,,
,,,,,8761,24.0,24,,,,,,
,,,,,8799,38.0,38,,,,,,
,,,,,8825,26.0,26,,,,,,
,,,,,8877,52.0,52,,,,,,
,,,,,8914,37.0,37,,,,,,
,,,,,8979,65.0,65,,,,,,
,,,,,8999,20.0,20,,,,,,
,,,,,9000,,,0.11409112811088562,7.1884074211120605,7.178131580352783,0.52745121717453,0.73,0.0005
,,,,,9017,18.0,18,,,,,,
,,,,,9039,22.0,22,,,,,,
,,,,,9094,55.0,55,,,,,,
,,,,,9110,16.0,16,,,,,,
,,,,,9155,45.0,45,,,,,,
,,,,,9190,35.0,35,,,,,,
,,,,,9220,30.0,30,,,,,,
,,,,,9243,23.0,23,,,,,,
,,,,,9261,18.0,18,,,,,,
,,,,,9273,12.0,12,,,,,,
,,,,,9365,92.0,92,,,,,,
,,,,,9405,40.0,40,,,,,,
,,,,,9419,14.0,14,,,,,,
,,,,,9486,67.0,67,,,,,,
,,,,,9520,34.0,34,,,,,,
,,,,,9534,14.0,14,,,,,,
,,,,,9584,50.0,50,,,,,,
,,,,,9641,57.0,57,,,,,,
,,,,,9692,51.0,51,,,,,,
,,,,,9766,74.0,74,,,,,,
,,,,,9783,17.0,17,,,,,,
,,,,,9843,60.0,60,,,,,,
,,,,,9909,66.0,66,,,,,,
,,,,,9937,28.0,28,,,,,,
,,,,,9983,46.0,46,,,,,,
170.1,25.754417,238.0,147.0,170.1,10000,,,0.027219461277127266,7.9338884353637695,7.979409694671631,0.6837737560272217,0.7,0.0005
,,,,,10093,110.0,110,,,,,,
,,,,,10105,12.0,12,,,,,,
,,,,,10129,24.0,24,,,,,,
,,,,,10145,16.0,16,,,,,,
,,,,,10197,52.0,52,,,,,,
,,,,,10228,31.0,31,,,,,,
,,,,,10261,33.0,33,,,,,,
,,,,,10322,61.0,61,,,,,,
,,,,,10342,20.0,20,,,,,,
,,,,,10374,32.0,32,,,,,,
,,,,,10434,60.0,60,,,,,,
,,,,,10477,43.0,43,,,,,,
,,,,,10512,35.0,35,,,,,,
,,,,,10530,18.0,18,,,,,,
,,,,,10542,12.0,12,,,,,,
,,,,,10566,24.0,24,,,,,,
,,,,,10615,49.0,49,,,,,,
,,,,,10664,49.0,49,,,,,,
,,,,,10705,41.0,41,,,,,,
,,,,,10720,15.0,15,,,,,,
,,,,,10757,37.0,37,,,,,,
,,,,,10823,66.0,66,,,,,,
,,,,,10865,42.0,42,,,,,,
,,,,,10877,12.0,12,,,,,,
,,,,,10911,34.0,34,,,,,,
,,,,,10924,13.0,13,,,,,,
,,,,,10936,12.0,12,,,,,,
,,,,,10979,43.0,43,,,,,,
,,,,,11000,,,0.02825838327407837,9.120878219604492,9.133171081542969,0.3072469234466553,0.67,0.0005
,,,,,11016,37.0,37,,,,,,
,,,,,11143,127.0,127,,,,,,
,,,,,11180,37.0,37,,,,,,
,,,,,11245,65.0,65,,,,,,
,,,,,11265,20.0,20,,,,,,
,,,,,11308,43.0,43,,,,,,
,,,,,11386,78.0,78,,,,,,
,,,,,11406,20.0,20,,,,,,
,,,,,11431,25.0,25,,,,,,
,,,,,11478,47.0,47,,,,,,
,,,,,11551,73.0,73,,,,,,
,,,,,11607,56.0,56,,,,,,
,,,,,11626,19.0,19,,,,,,
,,,,,11719,93.0,93,,,,,,
,,,,,11753,34.0,34,,,,,,
,,,,,11782,29.0,29,,,,,,
,,,,,11800,18.0,18,,,,,,
,,,,,11840,40.0,40,,,,,,
,,,,,11857,17.0,17,,,,,,
,,,,,11878,21.0,21,,,,,,
,,,,,11933,55.0,55,,,,,,
,,,,,11957,24.0,24,,,,,,
,,,,,12000,,,0.032816752791404724,9.715354919433594,9.700098037719727,0.3916510045528412,0.6399999999999999,0.0005
,,,,,12002,45.0,45,,,,,,
,,,,,12026,24.0,24,,,,,,
,,,,,12140,114.0,114,,,,,,
,,,,,12177,37.0,37,,,,,,
,,,,,12270,93.0,93,,,,,,
,,,,,12301,31.0,31,,,,,,
,,,,,12346,45.0,45,,,,,,
,,,,,12395,49.0,49,,,,,,
,,,,,12413,18.0,18,,,,,,
,,,,,12455,42.0,42,,,,,,
,,,,,12470,15.0,15,,,,,,
,,,,,12485,15.0,15,,,,,,
,,,,,12499,14.0,14,,,,,,
179.8,38.778343,263.0,133.0,179.8,12500,,,0.3492163419723511,10.271943092346191,10.181756019592285,2.528345823287964,0.625,0.0005
,,,,,12650,151.0,151,,,,,,
,,,,,12669,19.0,19,,,,,,
,,,,,12739,70.0,70,,,,,,
,,,,,12783,44.0,44,,,,,,
,,,,,12832,49.0,49,,,,,,
,,,,,12851,19.0,19,,,,,,
,,,,,12875,24.0,24,,,,,,
,,,,,12941,66.0,66,,,,,,
,,,,,12973,32.0,32,,,,,,
,,,,,13000,,,0.2650660574436188,10.794269561767578,10.724455833435059,3.080183506011963,0.61,0.0005
,,,,,13056,83.0,83,,,,,,
,,,,,13098,42.0,42,,,,,,
,,,,,13131,33.0,33,,,,,,
,,,,,13160,29.0,29,,,,,,
,,,,,13202,42.0,42,,,,,,
,,,,,13247,45.0,45,,,,,,
,,,,,13287,40.0,40,,,,,,
,,,,,13318,31.0,31,,,,,,
,,,,,13351,33.0,33,,,,,,
,,,,,13380,29.0,29,,,,,,
,,,,,13399,19.0,19,,,,,,
,,,,,13429,30.0,30,,,,,,
,,,,,13468,39.0,39,,,,,,
