Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,5257,10.640321,19,,,,,,,,
,,,,,5276,20.045761,19,,,,,,,,
,,,,,5297,19.360044,21,,,,,,,,
,,,,,5319,6.2080255,22,,,,,,,,
,,,,,5335,13.188458,16,,,,,,,,
,,,,,5347,8.971334,12,,,,,,,,
,,,,,5360,9.996035,13,,,,,,,,
,,,,,5402,29.745314,42,,,,,,,,
,,,,,5443,53.14002,41,,,,,,,,
,,,,,5456,12.222896,13,,,,,,,,
,,,,,5496,40.88481,40,,,,,,,,
,,,,,5516,21.519295,20,,,,,,,,
,,,,,5545,30.724052,29,,,,,,,,
,,,,,5564,22.450125,19,,,,,,,,
,,,,,5579,8.666247,15,,,,,,,,
,,,,,5597,15.582544,18,,,,,,,,
,,,,,5613,13.916931,16,,,,,,,,
,,,,,5628,9.487112,15,,,,,,,,
,,,,,5651,25.815556,23,,,,,,,,
,,,,,5665,9.335388,14,,,,,,,,
,,,,,5684,17.93008,19,,,,,,,,
,,,,,5699,13.914323,15,,,,,,,,
,,,,,5709,8.732987,10,,,,,,,,
,,,,,5727,16.277185,18,,,,,,,,
,,,,,5759,40.20288,32,,,,,,,,
,,,,,5786,24.94385,27,,,,,,,,
,,,,,5796,6.52546,10,,,,,,,,
,,,,,5814,10.05276,18,,,,,,,,
,,,,,5827,10.927918,13,,,,,,,,
,,,,,5844,13.0106945,17,,,,,,,,
,,,,,5866,22.684929,22,,,,,,,,
,,,,,5885,21.09984,19,,,,,,,,
,,,,,5907,16.525602,22,,,,,,,,
,,,,,5932,31.871208,25,,,,,,,,
,,,,,5953,23.881721,21,,,,,,,,
,,,,,5983,22.641714,30,,,,,,,,
,,,,,6004,23.138067,21,,,,,,,,
,,,,,6023,13.525285,19,,,,,,,,
,,,,,6037,13.432124,14,,,,,,,,
,,,,,6052,14.224838,15,,,,,,,,
,,,,,6068,16.767859,16,,,,,,,,
,,,,,6099,25.319412,31,,,,,,,,
,,,,,6112,12.117241,13,,,,,,,,
,,,,,6144,19.07642,32,,,,,,,,
,,,,,6198,66.02565,54,,,,,,,,
,,,,,6213,9.622659,15,,,,,,,,
,,,,,6244,25.970125,31,,,,,,,,
,,,,,6284,20.29351,40,,,,,,,,
,,,,,6346,115.72687,62,,,,,,,,
,,,,,6361,14.810852,15,,,,,,,,
,,,,,6387,11.910626,26,,,,,,,,
,,,,,6404,17.978382,17,,,,,,,,
,,,,,6423,9.501153,19,,,,,,,,
,,,,,6472,85.79913,49,,,,,,,,
,,,,,6497,31.304901,25,,,,,,,,
,,,,,6512,11.882349,15,,,,,,,,
,,,,,6550,50.542034,38,,,,,,,,
,,,,,6562,10.296955,12,,,,,,,,
,,,,,6602,37.62838,40,,,,,,,,
,,,,,6634,21.617315,32,,,,,,,,
,,,,,6698,90.620674,64,,,,,,,,
,,,,,6720,27.605415,22,,,,,,,,
,,,,,6744,25.482319,24,,,,,,,,
,,,,,6761,12.383159,17,,,,,,,,
,,,,,6778,13.702595,17,,,,,,,,
,,,,,6790,7.585584,12,,,,,,,,
,,,,,6840,44.64878,50,,,,,,,,
,,,,,6854,9.831484,14,,,,,,,,
,,,,,6870,10.238182,16,,,,,,,,
,,,,,6882,9.4786,12,,,,,,,,
,,,,,6893,6.9772654,11,,,,,,,,
,,,,,6909,16.957766,16,,,,,,,,
,,,,,6934,20.364805,25,,,,,,,,
,,,,,6952,13.686554,18,,,,,,,,
,,,,,6961,7.3231964,9,,,,,,,,
,,,,,6973,11.809562,12,,,,,,,,
,,,,,6993,17.049433,20,,,,,,,,
,,,,,7026,23.067518,33,,,,,,,,
,,,,,7041,14.964646,15,,,,,,,,
,,,,,7056,11.166567,15,,,,,,,,
,,,,,7089,21.447235,33,,,,,,,,
,,,,,7111,25.852959,22,,,,,,,,
,,,,,7133,24.3702,22,,,,,,,,
,,,,,7142,5.5967445,9,,,,,,,,
,,,,,7161,13.570096,19,,,,,,,,
,,,,,7211,49.128185,50,,,,,,,,
,,,,,7274,106.54527,63,,,,,,,,
,,,,,7334,103.7701,60,,,,,,,,
,,,,,7358,19.112173,24,,,,,,,,
,,,,,7388,16.341003,30,,,,,,,,
,,,,,7398,7.795187,10,,,,,,,,
,,,,,7409,9.058426,11,,,,,,,,
,,,,,7419,8.251132,10,,,,,,,,
,,,,,7466,57.130188,47,,,,,,,,
,,,,,7495,11.691747,29,,,,,,,,
,,,,,7511,13.383002,16,,,,,,,,
,,,,,7526,11.630433,15,,,,,,,,
,,,,,7540,12.303688,14,,,,,,,,
,,,,,7599,104.95307,59,,,,,,,,
,,,,,7631,38.647102,32,,,,,,,,
,,,,,7653,25.949596,22,,,,,,,,
,,,,,7663,7.2860527,10,,,,,,,,
,,,,,7692,34.841496,29,,,,,,,,
,,,,,7707,11.918656,15,,,,,,,,
,,,,,7723,15.442863,16,,,,,,,,
,,,,,7749,14.715686,26,,,,,,,,
,,,,,7794,46.788185,45,,,,,,,,
,,,,,7818,23.88144,24,,,,,,,,
,,,,,7840,25.0813,22,,,,,,,,
,,,,,7886,39.647102,46,,,,,,,,
,,,,,7896,6.582803,10,,,,,,,,
,,,,,7967,80.312645,71,,,,,,,,
,,,,,7985,11.927511,18,,,,,,,,
,,,,,8057,89.474915,72,,,,,,,,
,,,,,8083,25.737448,26,,,,,,,,
,,,,,8102,13.4023,19,,,,,,,,
,,,,,8126,15.284264,24,,,,,,,,
,,,,,8154,13.942257,28,,,,,,,,
,,,,,8164,7.563654,10,,,,,,,,
,,,,,8194,27.28432,30,,,,,,,,
,,,,,8224,24.110056,30,,,,,,,,
,,,,,8238,13.263503,14,,,,,,,,
,,,,,8263,23.443014,25,,,,,,,,
,,,,,8323,60.266766,60,,,,,,,,
,,,,,8343,18.4871,20,,,,,,,,
,,,,,8358,9.607695,15,,,,,,,,
,,,,,8371,12.154672,13,,,,,,,,
,,,,,8389,21.06631,18,,,,,,,,
,,,,,8411,23.412846,22,,,,,,,,
,,,,,8428,16.506891,17,,,,,,,,
,,,,,8443,13.147588,15,,,,,,,,
,,,,,8496,57.97685,53,,,,,,,,
,,,,,8524,25.10477,28,,,,,,,,
,,,,,8543,6.2248178,19,,,,,,,,
,,,,,8559,12.009887,16,,,,,,,,
,,,,,8575,14.093657,16,,,,,,,,
,,,,,8589,11.746081,14,,,,,,,,
,,,,,8604,13.792453,15,,,,,,,,
,,,,,8615,8.705834,11,,,,,,,,
,,,,,8634,19.45968,19,,,,,,,,
