Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2491,6.0,6,,,,,,,,
,,,,,2497,6.0,6,,,,,,,,
,,,,,2502,5.0,5,,,,,,,,
,,,,,2506,4.0,4,,,,,,,,
,,,,,2511,5.0,5,,,,,,,,
,,,,,2515,4.0,4,,,,,,,,
,,,,,2524,9.0,9,,,,,,,,
,,,,,2528,4.0,4,,,,,,,,
,,,,,2532,4.0,4,,,,,,,,
,,,,,2544,12.0,12,,,,,,,,
,,,,,2547,3.0,3,,,,,,,,
,,,,,2569,22.0,22,,,,,,,,
,,,,,2574,5.0,5,,,,,,,,
,,,,,2577,3.0,3,,,,,,,,
,,,,,2583,6.0,6,,,,,,,,
,,,,,2587,4.0,4,,,,,,,,
,,,,,2599,12.0,12,,,,,,,,
,,,,,2611,12.0,12,,,,,,,,
,,,,,2615,4.0,4,,,,,,,,
,,,,,2618,3.0,3,,,,,,,,
,,,,,2621,3.0,3,,,,,,,,
,,,,,2624,3.0,3,,,,,,,,
,,,,,2628,4.0,4,,,,,,,,
,,,,,2639,11.0,11,,,,,,,,
,,,,,2642,3.0,3,,,,,,,,
,,,,,2645,3.0,3,,,,,,,,
,,,,,2655,10.0,10,,,,,,,,
,,,,,2659,4.0,4,,,,,,,,
,,,,,2662,3.0,3,,,,,,,,
,,,,,2666,4.0,4,,,,,,,,
,,,,,2684,18.0,18,,,,,,,,
,,,,,2688,4.0,4,,,,,,,,
,,,,,2692,4.0,4,,,,,,,,
,,,,,2695,3.0,3,,,,,,,,
,,,,,2706,11.0,11,,,,,,,,
,,,,,2710,4.0,4,,,,,,,,
,,,,,2717,7.0,7,,,,,,,,
,,,,,2724,7.0,7,,,,,,,,
,,,,,2730,6.0,6,,,,,,,,
,,,,,2733,3.0,3,,,,,,,,
,,,,,2739,6.0,6,,,,,,,,
,,,,,2745,6.0,6,,,,,,,,
,,,,,2751,6.0,6,,,,,,,,
,,,,,2761,10.0,10,,,,,,,,
,,,,,2771,10.0,10,,,,,,,,
,,,,,2783,12.0,12,,,,,,,,
,,,,,2791,8.0,8,,,,,,,,
,,,,,2797,6.0,6,,,,,,,,
,,,,,2809,12.0,12,,,,,,,,
,,,,,2815,6.0,6,,,,,,,,
,,,,,2827,12.0,12,,,,,,,,
,,,,,2830,3.0,3,,,,,,,,
,,,,,2835,5.0,5,,,,,,,,
,,,,,2842,7.0,7,,,,,,,,
,,,,,2848,6.0,6,,,,,,,,
,,,,,2854,6.0,6,,,,,,,,
,,,,,2859,5.0,5,,,,,,,,
,,,,,2862,3.0,3,,,,,,,,
,,,,,2867,5.0,5,,,,,,,,
,,,,,2873,6.0,6,,,,,,,,
,,,,,2887,14.0,14,,,,,,,,
,,,,,2891,4.0,4,,,,,,,,
,,,,,2898,7.0,7,,,,,,,,
,,,,,2902,4.0,4,,,,,,,,
,,,,,2907,5.0,5,,,,,,,,
,,,,,2912,5.0,5,,,,,,,,
,,,,,2916,4.0,4,,,,,,,,
